时间,股票代码,股票名称,价格,涨跌幅,主力净流入(万),控盘度
11:23,301117,佳缘科技,47.30,-9.82%,-7883,0.153
14:27,301117,佳缘科技,47.64,-9.17%,-7883,0.153
